"Sektorji","2002-01 ","2002-02 ","2002-03 ","2002-04 ","2002-05 ","2002-06 ","2002-07 ","2002-08 ","2002-09 ","2002-10 ","2002-11 ","2002-12 ","2003-01 ","2003-02 ","2003-03 ","2003-04 ","2003-05 ","2003-06 ","2003-07 ","2003-08 ","2003-09 ","2003-10 ","2003-11 ","2003-12 ","2004-01 ","2004-02 ","2004-03 ","2004-04 ","2004-05 ","2004-06 ","2004-07 ","2004-08 ","2004-09 ","2004-10 ","2004-11 ","2004-12 ","2005-01 ","2005-02 ","2005-03 ","2005-04 ","2005-05 ","2005-06 ","2005-07 ","2005-08 ","2005-09 ","2005-10 ","2005-11 ","2005-12 ","2006-01 ","2006-02 ","2006-03 ","2006-04 ","2006-05 ","2006-06 ","2006-07 ","2006-08 ","2006-09 ","2006-10 ","2006-11 ","2006-12 ","2007-01 ","2007-02 ","2007-03 ","2007-04 ","2007-05 ","2007-06 ","2007-07 ","2007-08 ","2007-09 ","2007-10 ","2007-11 ","2007-12 ","2008-01 ","2008-02 ","2008-03 ","2008-04 ","2008-05 ","2008-06 ","2008-07 ","2008-08 ","2008-09 ","2008-10 ","2008-11 ","2008-12 ","2009-01 ","2009-02 ","2009-03 ","2009-04 ","2009-05 ","2009-06 ","2009-07 ","2009-08 ","2009-09 ","2009-10 ","2009-11 ","2009-12 ","2010-01 ","2010-02 ","2010-03 ","2010-04 ","2010-05 ","2010-06 ","2010-07 ","2010-08 ","2010-09 ","2010-10 ","2010-11 ","2010-12 ","2011-01 ","2011-02 ","2011-03 ","2011-04 ","2011-05 ","2011-06 ","2011-07 ","2011-08 ","2011-09 ","2011-10 ","2011-11 ","2011-12 ","2012-01 ","2012-02 ","2012-03 ","2012-04 ","2012-05 ","2012-06 ","2012-07 ","2012-08 ","2012-09 ","2012-10 ","2012-11 ","2012-12 ","2013-01 ","2013-02 ","2013-03 ","2013-04 ","2013-05 ","2013-06 ","2013-07 ","2013-08 ","2013-09 ","2013-10 ","2013-11 ","2013-12 ","2014-01 ","2014-02 ","2014-03 ","2014-04 ","2014-05 ","2014-06 ","2014-07 ","2014-08 ","2014-09 ","2014-10 ","2014-11 ","2014-12 ","2015-01 ","2015-02 ","2015-03 ","2015-04 ","2015-05 ","2015-06 ","2015-07 ","2015-08 ","2015-09 ","2015-10 ","2015-11 ","2015-12 ","2016-01 ","2016-02 ","2016-03 ","2016-04 ","2016-05 ","2016-06 ","2016-07 ","2016-08 ","2016-09 ","2016-10 ","2016-11 ","2016-12 ","2017-01 ","2017-02 ","2017-03 ","2017-04 ","2017-05 ","2017-06 ","2017-07 ","2017-08 ","2017-09 ","2017-10 ","2017-11 ","2017-12 ","2018-01 ","2018-02 ","2018-03 ","2018-04 ","2018-05 ","2018-06 ","2018-07 ","2018-08 ","2018-09 ","2018-10 ","2018-11 ","2018-12 ","2019-01 ","2019-02 ","2019-03 ","2019-04 ","2019-05 ","2019-06 ","2019-07 ","2019-08 ","2019-09 ","2019-10 ","2019-11 ","2019-12 ","2020-01 ","2020-02 ","2020-03 ","2020-04 ","2020-05 ","2020-06 ","2020-07 ","2020-08 ","2020-09 ","2020-10 ","2020-11 ","2020-12 ","2021-01 ","2021-02 ","2021-03 ","2021-04 ","2021-05 ","2021-06 ","2021-07 ","2021-08 ","2021-09 ","2021-10 ","2021-11 ","2021-12 ","2022-01 ","2022-02 ","2022-03 ","2022-04 ","2022-05 "
"M,PC_PNT,CP01,EA","0.93 ","0.81 ","0.68 ","0.56 ","0.38 ","0.30 ","0.27 ","0.29 ","0.31 ","0.28 ","0.30 ","0.25 ","0.09 ","0.18 ","0.23 ","0.24 ","0.25 ","0.36 ","0.36 ","0.41 ","0.48 ","0.46 ","0.45 ","0.40 ","0.38 ","0.31 ","0.27 ","0.26 ","0.27 ","0.22 ","0.18 ","0.09 ","-0.03 ","-0.03 ","-0.02 ","0.05 ","-0.01 ","0.09 ","0.13 ","0.09 ","0.10 ","0.07 ","0.04 ","0.11 ","0.12 ","0.14 ","0.18 ","0.21 ","0.27 ","0.26 ","0.19 ","0.24 ","0.27 ","0.31 ","0.40 ","0.44 ","0.49 ","0.45 ","0.47 ","0.40 ","0.39 ","0.30 ","0.30 ","0.38 ","0.32 ","0.32 ","0.31 ","0.33 ","0.38 ","0.59 ","0.67 ","0.74 ","0.85 ","0.91 ","0.97 ","0.93 ","0.99 ","1.00 ","1.04 ","0.96 ","0.88 ","0.74 ","0.58 ","0.50 ","0.41 ","0.36 ","0.25 ","0.14 ","0.05 ","-0.03 ","-0.15 ","-0.18 ","-0.19 ","-0.24 ","-0.19 ","-0.21 ","-0.18 ","-0.17 ","-0.06 ","0.00 ","-0.01 ","0.04 ","0.13 ","0.17 ","0.17 ","0.19 ","0.22 ","0.27 ","0.23 ","0.31 ","0.32 ","0.30 ","0.42 ","0.42 ","0.40 ","0.39 ","0.43 ","0.47 ","0.48 ","0.46 ","0.46 ","0.49 ","0.45 ","0.41 ","0.35 ","0.42 ","0.38 ","0.40 ","0.41 ","0.44 ","0.44 ","0.46 ","0.48 ","0.38 ","0.37 ","0.41 ","0.49 ","0.49 ","0.51 ","0.45 ","0.33 ","0.22 ","0.17 ","0.21 ","0.20 ","0.15 ","0.07 ","0.02 ","-0.10 ","-0.17 ","-0.16 ","-0.14 ","-0.04 ","0.01 ","0.00 ","-0.09 ","-0.09 ","0.01 ","0.04 ","0.10 ","0.14 ","0.13 ","0.08 ","0.15 ","0.18 ","0.22 ","0.21 ","0.15 ","0.12 ","0.05 ","0.10 ","0.09 ","0.10 ","0.09 ","0.20 ","0.17 ","0.07 ","0.00 ","0.07 ","0.18 ","0.29 ","0.43 ","0.27 ","0.20 ","0.21 ","0.19 ","0.18 ","0.19 ","0.28 ","0.37 ","0.33 ","0.30 ","0.27 ","0.09 ","0.23 ","0.29 ","0.32 ","0.35 ","0.31 ","0.30 ","0.33 ","0.25 ","0.21 ","0.19 ","0.20 ","0.29 ","0.21 ","0.17 ","0.17 ","0.19 ","0.26 ","0.29 ","0.18 ","0.18 ","0.23 ","0.25 ","0.26 ","0.28 ","0.34 ","0.55 ","0.51 ","0.45 ","0.24 ","0.19 ","0.20 ","0.25 ","0.23 ","0.13 ","0.17 ","0.14 ","0.13 ","0.04 ","0.05 ","0.06 ","0.25 ","0.33 ","0.34 ","0.32 ","0.40 ","0.61 ","0.67 ","0.80 ","0.97 ","1.25 ","1.47 "
"M,PC_PNT,CP02,EA","0.17 ","0.15 ","0.15 ","0.16 ","0.15 ","0.16 ","0.16 ","0.17 ","0.17 ","0.16 ","0.16 ","0.17 ","0.19 ","0.22 ","0.21 ","0.22 ","0.22 ","0.21 ","0.21 ","0.20 ","0.21 ","0.25 ","0.30 ","0.29 ","0.23 ","0.22 ","0.33 ","0.31 ","0.33 ","0.33 ","0.32 ","0.32 ","0.31 ","0.28 ","0.22 ","0.33 ","0.30 ","0.29 ","0.17 ","0.17 ","0.16 ","0.16 ","0.17 ","0.17 ","0.23 ","0.23 ","0.23 ","0.11 ","0.11 ","0.10 ","0.12 ","0.11 ","0.11 ","0.11 ","0.11 ","0.11 ","0.06 ","0.12 ","0.12 ","0.13 ","0.15 ","0.16 ","0.14 ","0.15 ","0.14 ","0.14 ","0.13 ","0.15 ","0.15 ","0.10 ","0.11 ","0.10 ","0.12 ","0.12 ","0.12 ","0.12 ","0.13 ","0.13 ","0.14 ","0.12 ","0.12 ","0.13 ","0.13 ","0.13 ","0.12 ","0.12 ","0.13 ","0.12 ","0.12 ","0.16 ","0.16 ","0.17 ","0.16 ","0.16 ","0.17 ","0.18 ","0.17 ","0.16 ","0.15 ","0.16 ","0.16 ","0.14 ","0.13 ","0.13 ","0.12 ","0.13 ","0.13 ","0.14 ","0.14 ","0.14 ","0.14 ","0.13 ","0.13 ","0.10 ","0.11 ","0.12 ","0.15 ","0.17 ","0.17 ","0.15 ","0.15 ","0.16 ","0.17 ","0.18 ","0.18 ","0.19 ","0.18 ","0.17 ","0.16 ","0.15 ","0.14 ","0.14 ","0.15 ","0.15 ","0.15 ","0.14 ","0.13 ","0.13 ","0.16 ","0.17 ","0.17 ","0.14 ","0.14 ","0.14 ","0.14 ","0.14 ","0.13 ","0.12 ","0.12 ","0.12 ","0.09 ","0.08 ","0.09 ","0.09 ","0.09 ","0.08 ","0.07 ","0.08 ","0.08 ","0.09 ","0.08 ","0.09 ","0.10 ","0.10 ","0.09 ","0.08 ","0.08 ","0.08 ","0.08 ","0.06 ","0.06 ","0.06 ","0.08 ","0.08 ","0.07 ","0.07 ","0.07 ","0.07 ","0.07 ","0.07 ","0.07 ","0.07 ","0.08 ","0.09 ","0.09 ","0.08 ","0.09 ","0.09 ","0.09 ","0.09 ","0.10 ","0.11 ","0.12 ","0.12 ","0.18 ","0.18 ","0.17 ","0.18 ","0.18 ","0.18 ","0.18 ","0.18 ","0.17 ","0.15 ","0.15 ","0.16 ","0.14 ","0.12 ","0.12 ","0.11 ","0.11 ","0.11 ","0.11 ","0.11 ","0.14 ","0.14 ","0.14 ","0.13 ","0.12 ","0.13 ","0.14 ","0.15 ","0.14 ","0.14 ","0.14 ","0.13 ","0.12 ","0.12 ","0.14 ","0.15 ","0.11 ","0.12 ","0.10 ","0.08 ","0.10 ","0.10 ","0.10 ","0.11 ","0.09 ","0.10 ","0.10 ","0.10 ","0.10 ","0.10 ","0.12 "
"M,PC_PNT,CP03,EA","0.16 ","0.19 ","0.16 ","0.18 ","0.18 ","0.17 ","0.13 ","0.11 ","0.14 ","0.15 ","0.15 ","0.14 ","0.00 ","0.04 ","0.09 ","0.10 ","0.11 ","0.08 ","0.04 ","0.02 ","0.07 ","0.08 ","0.08 ","0.08 ","-0.01 ","0.04 ","0.04 ","0.07 ","0.07 ","0.07 ","0.03 ","0.07 ","0.05 ","0.07 ","0.06 ","0.05 ","0.04 ","-0.03 ","0.00 ","0.03 ","0.02 ","0.02 ","-0.04 ","-0.05 ","0.00 ","0.03 ","0.02 ","0.02 ","-0.05 ","-0.05 ","0.04 ","0.04 ","0.05 ","0.04 ","0.01 ","0.01 ","0.07 ","0.07 ","0.07 ","0.07 ","0.03 ","0.10 ","0.13 ","0.10 ","0.09 ","0.09 ","0.03 ","0.06 ","0.07 ","0.08 ","0.08 ","0.07 ","0.03 ","0.06 ","0.07 ","0.06 ","0.05 ","0.05 ","-0.03 ","0.02 ","0.05 ","0.06 ","0.06 ","0.06 ","-0.04 ","0.01 ","0.03 ","0.05 ","0.04 ","0.02 ","-0.02 ","0.03 ","0.03 ","0.02 ","0.02 ","0.04 ","-0.09 ","-0.08 ","0.11 ","0.09 ","0.09 ","0.10 ","0.02 ","-0.01 ","0.12 ","0.07 ","0.07 ","0.04 ","-0.04 ","-0.17 ","0.08 ","0.09 ","0.11 ","0.07 ","-0.18 ","-0.18 ","0.13 ","0.16 ","0.15 ","0.12 ","0.03 ","0.07 ","0.16 ","0.15 ","0.13 ","0.14 ","0.16 ","0.08 ","0.11 ","0.08 ","0.09 ","0.09 ","0.04 ","0.03 ","0.06 ","0.04 ","0.05 ","0.04 ","0.03 ","0.03 ","0.05 ","0.03 ","-0.01 ","0.02 ","0.03 ","0.10 ","0.04 ","0.02 ","0.00 ","-0.02 ","0.00 ","0.08 ","0.04 ","0.00 ","0.03 ","0.03 ","0.04 ","0.01 ","0.00 ","0.00 ","0.00 ","0.01 ","0.06 ","0.04 ","0.00 ","0.03 ","0.02 ","-0.01 ","0.03 ","0.03 ","0.00 ","0.03 ","0.05 ","0.03 ","0.01 ","-0.02 ","0.00 ","0.02 ","0.03 ","0.05 ","0.10 ","0.01 ","0.02 ","0.02 ","0.02 ","0.04 ","0.03 ","0.05 ","0.04 ","0.00 ","0.01 ","0.02 ","0.02 ","0.04 ","-0.03 ","0.00 ","0.00 ","0.02 ","0.05 ","-0.01 ","-0.01 ","0.02 ","0.02 ","0.03 ","0.04 ","0.03 ","-0.01 ","0.02 ","0.03 ","0.02 ","0.04 ","0.04 ","0.03 ","0.04 ","0.04 ","0.05 ","0.03 ","0.06 ","0.06 ","-0.02 ","-0.04 ","-0.05 ","0.34 ","-0.04 ","-0.08 ","-0.03 ","-0.05 ","-0.13 ","0.18 ","0.09 ","-0.07 ","-0.02 ","0.01 ","0.10 ","-0.13 ","0.23 ","0.10 ","0.04 ","0.07 ","0.15 ","-0.02 ","0.09 ","0.11 ","0.10 ","0.09 "
"M,PC_PNT,CP04,EA","0.21 ","0.18 ","0.21 ","0.21 ","0.17 ","0.12 ","0.14 ","0.16 ","0.16 ","0.24 ","0.22 ","0.30 ","0.37 ","0.43 ","0.47 ","0.36 ","0.34 ","0.36 ","0.37 ","0.37 ","0.34 ","0.34 ","0.37 ","0.34 ","0.28 ","0.19 ","0.18 ","0.29 ","0.36 ","0.36 ","0.37 ","0.41 ","0.43 ","0.54 ","0.53 ","0.52 ","0.55 ","0.60 ","0.65 ","0.69 ","0.64 ","0.71 ","0.77 ","0.76 ","0.82 ","0.76 ","0.75 ","0.77 ","0.84 ","0.84 ","0.78 ","0.81 ","0.86 ","0.78 ","0.75 ","0.72 ","0.61 ","0.54 ","0.55 ","0.55 ","0.48 ","0.48 ","0.45 ","0.38 ","0.34 ","0.35 ","0.31 ","0.30 ","0.37 ","0.42 ","0.55 ","0.55 ","0.62 ","0.62 ","0.68 ","0.73 ","0.86 ","0.93 ","1.03 ","0.96 ","0.95 ","0.90 ","0.69 ","0.55 ","0.49 ","0.43 ","0.30 ","0.12 ","-0.02 ","-0.08 ","-0.28 ","-0.20 ","-0.25 ","-0.25 ","-0.16 ","-0.05 ","-0.05 ","-0.03 ","0.08 ","0.26 ","0.30 ","0.29 ","0.43 ","0.43 ","0.46 ","0.49 ","0.50 ","0.58 ","0.71 ","0.77 ","0.79 ","0.77 ","0.73 ","0.74 ","0.78 ","0.77 ","0.78 ","0.81 ","0.84 ","0.77 ","0.73 ","0.71 ","0.64 ","0.63 ","0.65 ","0.60 ","0.61 ","0.67 ","0.67 ","0.65 ","0.58 ","0.56 ","0.56 ","0.54 ","0.49 ","0.36 ","0.34 ","0.37 ","0.33 ","0.31 ","0.28 ","0.21 ","0.21 ","0.25 ","0.17 ","0.17 ","0.16 ","0.20 ","0.21 ","0.20 ","0.12 ","0.09 ","0.09 ","0.09 ","0.09 ","-0.01 ","-0.11 ","-0.11 ","-0.09 ","-0.10 ","-0.08 ","-0.08 ","-0.09 ","-0.15 ","-0.16 ","-0.16 ","-0.15 ","-0.13 ","-0.19 ","-0.26 ","-0.23 ","-0.28 ","-0.24 ","-0.19 ","-0.17 ","-0.15 ","-0.09 ","-0.03 ","-0.02 ","0.12 ","0.33 ","0.35 ","0.30 ","0.38 ","0.32 ","0.26 ","0.26 ","0.29 ","0.27 ","0.26 ","0.30 ","0.24 ","0.24 ","0.27 ","0.25 ","0.22 ","0.31 ","0.32 ","0.44 ","0.45 ","0.49 ","0.56 ","0.55 ","0.45 ","0.41 ","0.42 ","0.46 ","0.43 ","0.37 ","0.36 ","0.24 ","0.21 ","0.15 ","0.07 ","0.03 ","0.11 ","0.09 ","0.03 ","-0.06 ","-0.17 ","-0.21 ","-0.18 ","-0.20 ","-0.18 ","-0.19 ","-0.19 ","-0.16 ","-0.10 ","0.07 ","0.11 ","0.29 ","0.52 ","0.60 ","0.64 ","0.81 ","0.90 ","1.03 ","1.40 ","1.60 ","1.71 ","2.12 ","2.36 ","3.01 ","2.77 ","2.83 "
"M,PC_PNT,CP05,EA","0.16 ","0.15 ","0.15 ","0.14 ","0.14 ","0.14 ","0.13 ","0.13 ","0.13 ","0.12 ","0.13 ","0.12 ","0.10 ","0.11 ","0.10 ","0.10 ","0.10 ","0.10 ","0.10 ","0.10 ","0.10 ","0.10 ","0.09 ","0.09 ","0.08 ","0.07 ","0.07 ","0.07 ","0.06 ","0.07 ","0.07 ","0.07 ","0.07 ","0.07 ","0.07 ","0.06 ","0.08 ","0.07 ","0.07 ","0.07 ","0.07 ","0.06 ","0.05 ","0.05 ","0.05 ","0.06 ","0.06 ","0.07 ","0.06 ","0.06 ","0.07 ","0.08 ","0.07 ","0.07 ","0.07 ","0.07 ","0.07 ","0.07 ","0.08 ","0.09 ","0.10 ","0.10 ","0.10 ","0.11 ","0.12 ","0.12 ","0.13 ","0.13 ","0.14 ","0.14 ","0.14 ","0.14 ","0.14 ","0.15 ","0.16 ","0.16 ","0.14 ","0.15 ","0.14 ","0.15 ","0.15 ","0.16 ","0.15 ","0.15 ","0.13 ","0.14 ","0.13 ","0.13 ","0.13 ","0.12 ","0.12 ","0.12 ","0.11 ","0.10 ","0.09 ","0.08 ","0.07 ","0.06 ","0.05 ","0.05 ","0.05 ","0.05 ","0.04 ","0.04 ","0.04 ","0.05 ","0.05 ","0.04 ","0.05 ","0.06 ","0.06 ","0.07 ","0.07 ","0.08 ","0.08 ","0.08 ","0.09 ","0.09 ","0.10 ","0.11 ","0.10 ","0.09 ","0.09 ","0.10 ","0.10 ","0.10 ","0.09 ","0.08 ","0.08 ","0.08 ","0.07 ","0.07 ","0.08 ","0.08 ","0.07 ","0.06 ","0.06 ","0.06 ","0.05 ","0.04 ","0.05 ","0.04 ","0.04 ","0.04 ","0.02 ","0.03 ","0.02 ","0.02 ","0.01 ","0.01 ","0.01 ","0.01 ","0.00 ","0.00 ","0.00 ","0.00 ","0.01 ","0.00 ","0.00 ","0.01 ","0.02 ","0.02 ","0.02 ","0.03 ","0.03 ","0.03 ","0.03 ","0.04 ","0.04 ","0.05 ","0.03 ","0.03 ","0.02 ","0.02 ","0.02 ","0.01 ","0.01 ","0.01 ","0.01 ","0.00 ","0.00 ","-0.01 ","0.00 ","0.00 ","-0.01 ","-0.01 ","0.01 ","0.00 ","0.01 ","0.00 ","0.01 ","0.01 ","0.02 ","0.02 ","0.02 ","0.02 ","0.02 ","0.03 ","0.02 ","0.02 ","0.02 ","0.03 ","0.03 ","0.03 ","0.02 ","0.03 ","0.02 ","0.03 ","0.03 ","0.02 ","0.03 ","0.03 ","0.03 ","0.03 ","0.03 ","0.03 ","0.03 ","0.04 ","0.04 ","0.05 ","0.04 ","0.04 ","0.05 ","0.02 ","0.01 ","0.01 ","0.00 ","0.01 ","0.08 ","0.05 ","0.05 ","0.05 ","0.06 ","0.07 ","0.09 ","0.13 ","0.14 ","0.15 ","0.17 ","0.19 ","0.19 ","0.26 ","0.29 ","0.34 ","0.40 "
