"MERITVE";"SKUPINE";"LETO";Indeksi cen življenjskih potrebšèin in letne stopnje rasti cen
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2005";-1.0
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2006";-0.5
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2007";2.1
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2008";4.4
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2009";-0.6
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2010";-1.9
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2011";-1.5
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2012";-0.2
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2013";0.2
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2014";-0.9
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2015";-0.9
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2016";-0.2
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2017";0.3
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2018";-0.8
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2019";1.3
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2020";-2.9
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2021";0.5
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2000";18.3
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2001";11.1
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2002";6.8
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2003";6.6
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2004";7.3
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2005";9.1
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2006";5.3
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2007";2.6
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2008";9.7
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2009";-0.3
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2010";10.2
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2011";5.6
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2012";3.8
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2013";3.1
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2014";0.1
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2015";-1.3
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2016";-1.0
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2017";2.5
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2018";4.0
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2019";4.1
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2020";-1.1
"Povpreène letne stopnje rasti cen (%)";"04 Stanovanja, voda, elektrièna energija, plin in drugo gorivo";"2021";5.3
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2000";5.8
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2001";7.8
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2002";5.7
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2003";4.7
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2004";2.3
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2005";3.6
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2006";4.1
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2007";4.5
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2008";5.8
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2009";4.0
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2010";1.4
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2011";2.7
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2012";0.1
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2013";-1.2
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2014";-1.2
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2015";-1.2
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2016";0.2
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2017";0.0
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2018";0.8
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2019";1.1
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2020";0.0
"Povpreène letne stopnje rasti cen (%)";"05 Stanovanjska in gospodinjska oprema in tekoèe vzdrževanje stanovanj";"2021";2.2
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2000";15.4
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2001";12.4
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2002";6.7
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2003";5.9
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2004";1.4
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2005";-0.3
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2006";-1.7
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2007";1.1
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2008";2.9
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2009";4.0
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2010";2.1
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2011";1.6
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2012";0.4
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2013";-0.5
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2014";-0.1
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2015";0.5
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2016";0.5
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2017";0.4
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2018";1.3
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2019";1.6
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2020";1.4
"Povpreène letne stopnje rasti cen (%)";"06 Zdravstvo";"2021";1.7
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2000";14.0
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2001";10.3
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2002";7.3
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2003";4.7
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2004";5.7
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2005";2.7
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2006";1.3
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2007";0.3
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2008";1.9
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2009";-3.0
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2010";-0.3
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2011";1.0
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2012";3.3
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2013";0.3
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2014";0.2
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2015";-5.1
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2016";-3.4
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2017";1.9
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2018";0.8
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2019";-0.8
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2020";-5.2
"Povpreène letne stopnje rasti cen (%)";"07 Prevoz";"2021";6.0
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2000";5.9
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2001";10.9
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2002";15.2
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2003";1.4
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2004";0.1
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2005";0.0
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2006";0.3
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2007";0.3
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2008";0.6
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2009";-4.1
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2010";1.4
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2011";1.2
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2012";-2.4
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2013";-1.2
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2014";-1.9
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2015";1.1
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2016";3.5
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2017";0.3
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2018";0.3
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2019";0.8
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2020";0.1
"Povpreène letne stopnje rasti cen (%)";"08 Komunikacije";"2021";-0.9
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2000";6.0
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2001";5.6
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2002";7.0
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2003";4.9
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2004";3.7
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2005";2.3
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2006";2.1
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2007";3.6
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2008";4.4
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2009";3.0
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2010";0.4
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2011";-1.5
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2012";1.4
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2013";0.1
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2014";0.7
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2015";1.0
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2016";0.3
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2017";0.4
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2018";1.2
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2019";1.6
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2020";-0.3
"Povpreène letne stopnje rasti cen (%)";"09 Rekreacija in kultura";"2021";-1.7
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2000";8.9
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2001";9.5
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2002";10.0
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2003";4.3
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2004";7.3
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2005";7.1
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2006";3.1
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2007";1.9
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2008";5.2
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2009";3.4
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2010";1.6
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2011";1.7
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2012";2.9
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2013";2.6
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2014";0.1
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2015";0.6
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2016";0.1
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2017";1.3
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2018";3.5
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2019";3.9
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2020";2.7
"Povpreène letne stopnje rasti cen (%)";"10 Izobraževanje";"2021";0.8
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2000";4.6
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2001";6.8
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2002";9.1
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2003";7.3
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2004";5.1
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2005";4.4
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2006";4.5
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2007";7.3
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2008";9.6
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2009";4.4
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2010";-2.5
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2011";-6.8
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2012";4.5
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2013";6.5
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2014";1.1
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2015";0.5
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2016";2.0
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2017";1.5
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2018";2.6
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2019";3.0
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2020";1.2
"Povpreène letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2021";3.0
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2000";6.5
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2001";7.6
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2002";8.6
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2003";6.4
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2004";3.8
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2005";1.9
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2006";4.1
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2007";3.6
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2008";3.9
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2009";3.8
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2010";1.4
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2011";2.2
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2012";2.4
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2013";1.3
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2014";1.6
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2015";1.4
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2016";1.1
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2017";1.4
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2018";1.7
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2019";2.5
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2020";3.1
"Povpreène letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2021";-0.1
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2000";58.61
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2001";64.00
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2002";68.78
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2003";71.97
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2004";72.32
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2005";71.72
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2006";73.34
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2007";79.03
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2008";86.98
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2009";87.49
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2010";88.32
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2011";92.24
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2012";96.03
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2013";99.48
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2014";99.15
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2015";100.00
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2016";100.89
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2017";103.16
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2018";105.92
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2019";107.62
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2020";111.41
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"01 Hrana in brezalkoholne pijaèe";"2021";111.19
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2000";39.58
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2001";42.58
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2002";48.66
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2003";54.79
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2004";57.96
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2005";60.21
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2006";62.44
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2007";66.51
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2008";68.67
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2009";73.25
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2010";78.56
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2011";83.04
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2012";88.47
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2013";94.70
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2014";98.09
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2015";100.00
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2016";100.27
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2017";102.51
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2018";104.31
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2019";105.37
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2020";107.17
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"02 Alkoholne pijaèe in tobak";"2021";110.64
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"03 Oblaèila in obutev";"2000";88.81
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"03 Oblaèila in obutev";"2001";90.51
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"03 Oblaèila in obutev";"2002";93.49
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"03 Oblaèila in obutev";"2003";99.36
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"03 Oblaèila in obutev";"2004";101.02
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"03 Oblaèila in obutev";"2005";100.03
"Indeks cen življenjskih potrebšèin (Leto / povpreèje leta 2015)";"03 Oblaèila in obutev";"2006";99.54
